,01.01.2026,02.01.2026,03.01.2026,04.01.2026,05.01.2026,06.01.2026,07.01.2026,08.01.2026,09.01.2026,10.01.2026,11.01.2026,12.01.2026,13.01.2026,14.01.2026,15.01.2026,16.01.2026,17.01.2026,18.01.2026,19.01.2026,20.01.2026,21.01.2026,22.01.2026,23.01.2026,24.01.2026,25.01.2026,26.01.2026,27.01.2026,28.01.2026,29.01.2026,30.01.2026,31.01.2026,01.02.2026,02.02.2026,03.02.2026,04.02.2026,05.02.2026,06.02.2026,07.02.2026,08.02.2026,09.02.2026,10.02.2026,11.02.2026,12.02.2026,13.02.2026,14.02.2026,15.02.2026,16.02.2026,17.02.2026,18.02.2026,19.02.2026,20.02.2026,21.02.2026,22.02.2026,23.02.2026,24.02.2026,25.02.2026,26.02.2026,27.02.2026,28.02.2026,01.03.2026,02.03.2026,03.03.2026,04.03.2026,05.03.2026,06.03.2026,07.03.2026,08.03.2026,09.03.2026,10.03.2026,11.03.2026,12.03.2026,13.03.2026,14.03.2026,15.03.2026,16.03.2026,17.03.2026,18.03.2026,19.03.2026,20.03.2026,21.03.2026,22.03.2026,23.03.2026,24.03.2026,25.03.2026,26.03.2026,27.03.2026,28.03.2026,29.03.2026,30.03.2026,31.03.2026,01.04.2026,02.04.2026,03.04.2026,04.04.2026,05.04.2026,06.04.2026,07.04.2026,08.04.2026,09.04.2026,10.04.2026,11.04.2026,12.04.2026,13.04.2026,14.04.2026,15.04.2026,16.04.2026,17.04.2026,18.04.2026,19.04.2026,20.04.2026,21.04.2026,22.04.2026,23.04.2026,24.04.2026,25.04.2026,26.04.2026,27.04.2026,28.04.2026,29.04.2026,30.04.2026,01.05.2026,02.05.2026,03.05.2026,04.05.2026,05.05.2026,06.05.2026,07.05.2026,08.05.2026,09.05.2026,10.05.2026,11.05.2026,12.05.2026,13.05.2026,14.05.2026,15.05.2026,16.05.2026,17.05.2026,18.05.2026,19.05.2026,20.05.2026,21.05.2026,22.05.2026,23.05.2026,24.05.2026,25.05.2026,26.05.2026,27.05.2026,28.05.2026,29.05.2026,30.05.2026,31.05.2026,01.06.2026,02.06.2026,03.06.2026,04.06.2026,05.06.2026,06.06.2026,07.06.2026,08.06.2026,09.06.2026,10.06.2026,11.06.2026,12.06.2026,13.06.2026,14.06.2026,15.06.2026,16.06.2026,17.06.2026,18.06.2026,19.06.2026,20.06.2026,21.06.2026,22.06.2026,23.06.2026,24.06.2026,25.06.2026,26.06.2026,27.06.2026,28.06.2026,29.06.2026,30.06.2026,01.07.2026,02.07.2026,03.07.2026,04.07.2026
T00509,01早M,01中A,r,01早m,01早B1,01早B1,01早M,r,r,01早M,01早m,r,r,01早M,01午M,r,01夜B1,01夜B2,01夜B1,01夜B2,01夜B1,r,r,01早m,01中A,r,r,01早m,01早m,01午M,r,r,01早m,01午M,r,r,01早M,01早m,r,01午M,01午m,01午M,r,01夜B2,01夜B1,01夜B2,01夜B1,r,r,01早M,01早m,01早M,01早m,01早M,r,r,r,01早M,01早m,01夜B2,01夜B1,01夜B2,r,r,01早m,01早M,r,T(溫故訓),01午M,01午m(照證),01午m,r,r,r,01午M,01夜B1,01夜B2,r,r,01早M,01早m,r,r,r,01早M,01早m,01早M,r,01中A,01午M,01午m,r,01夜B1,01夜B2,01夜B1,01夜B2,01夜B1,r,r,r,01午M,01午m,01午M,01午m,01午M,r,01早m,01早m,01早M,r,r,r,r,r,r,r,r,01早m,01早M,01早m,01早m,01早m,r,01中A(滅火防爆),01午M,r,r,01早m,01早M,r,r,01早M,01早B1,r,r,01早M,01早m,r,01午M,01夜B1,01夜B2,01夜B1,r,r,01早M,01早M,01早m,01中A,r,01夜B2,01夜B1,r,r,01早M,01早m,01午M,r,01夜B2,01夜B1,01夜B2,r,r,01早M,01早M,01夜B1,01夜B2,r,r,r,r,01早M,01早B1,01早M,01午M,r,r,r,r,01午M,01午m,r,01夜B2,01夜B1,01夜B2,01夜B1
T01028,01午M,01午m,r,r,r,01午M,01午m,01午M,01午m,r,r,01午M,01午m,01午m,01午B1,r,01早M,01午M,01午M,r,r,01午M,r,01夜B2,01夜B1,01夜B2,01夜B1,01夜B2,r,r,r,01午m,01午M,r,01午m,01午M,01午m,01午M,r,01午m,01午M,r,r,01午m,01午M,01午B1,r,01夜B2,01夜B1,01夜B2,01夜B1,r,r,01午M,01午M,r,r,r,01午M,01午m,01午B1,r,r,01夜B1,01夜B2,01夜B1,01夜B2,01夜B1,r,r,01午M,01午m(照證),r,r,01午m,01午M,r,01午B1,01午M,01午m,r,01早M,01午M,01午m,r,01午B1,01午M,r,T(溫故訓),01午m,01午M,01午m,r,01午B1,01午M,r,01午M,01午m,01午M,r,r,01早m,01日(體檢),01早m,r,r,01夜B2,01夜B1,01夜B2,01夜B1,01夜B2,r,r,r,r,01午M,01午M,r,r,01午m,01夜B2,01夜B1,r,r,01中A(毒化物),01早M,01午m,r,r,01午M,01午m,r,01午m,01中A(知能加強訓),01夜B1,01夜B2,01夜B1,r,r,r,01日,01午M,01午m,r,r,01午m,01午M,01午m,01午M,r,01午M,01午m,r,r,01夜B1,01夜B2,01夜B1,r,r,r,01午M,01午m,01夜B2,01夜B1,01夜B2,r,r,01早B1(票務溫故),01午m,01午M,01午M,r,01午M,01午m,r,01午M,01午m,r,01早M,01早M,01午m,r,r,01午M,01午m
T01029,r,01早M,r,01早B1,01早m,r,01早m,01夜B2,01夜B1,01夜B2,r,r,r,01午M,01午m,r,01午M,01午m,01夜B2,01夜B1,r,r,r,01午B1,01午M,r,r,01午m,01午M,r,01午B1,01午M,r,01午m,r,r,01夜B1,01夜B2,01夜B1,r,r,01午m,01午M,01午B1,r,01午m,01午M,01午M,r,01中A,01午M,01夜B2,01夜B1,r,r,r,r,01午M,01午m,01午M,01午m,r,01夜B1,01夜B2,01夜B1,r,r,01午M,01午m,01午B1(照證),r,r,01夜B2,01夜B1,01夜B2,r,r,r,01早m,01午M,01午m,r,r,r,r,01早M,01早m,r,01午M,01午B1,r,01午M,01午m,01午M,01午B1,r,r,r,T(溫故訓),01夜B2,01夜B1,01夜B2,01夜B1,r,r,01午M,01午m,01午M,01午B1,r,r,r,r,r,r,r,r,01午M,01午M,01早Q(體檢/心理調適訓),r,01早B1,r,01早m,r,r,r,01早B1,01早m,r,01早B1,01午M,r,01中A(知能加強訓),01午M,01午m,01午M,r,r,01夜B2,01夜B1,01夜B2,01夜B1,r,r,r,01午m,01午M,01午m,01午m,r,01夜B1,01夜B2,r,r,r,01午m,01午M,r,r,01午m,01午M,r,01早m,01午M,01夜B1,01夜B2,01夜B1,r,r,01午m,01午M,01午m,r,r,r,r,r,01午m,01午B1,r,01午M,01午M,01午B1,01午M
T01734,r,01夜B1,01夜B2,r,r,01早m,01早B1,01早M,01早M,01早m,r,r,r,01夜B2,01夜B1,01夜B2,r,r,r,01早M,01早m,01早M,01早M,r,01早M,01早m,01早m,01早B1,r,01早m,01早M,01早m,01早B1,r,01早m,01早M,01早m,01早M,r,r,r,01夜B1,01夜B2,01夜B1,01夜B2,r,r,01早m,01早B1,r,r,r,r,r,r,01日(裁罰訓),01早M,01早m,r,r,r,01早m,01早M,01午M,01午M,01午m,r,01早m,01早M,01早m,01夜B2,01夜B1,r,r,r,01早M,01早m,01早m,01早M,01早m,r,r,01早M,01午M,01午m,r,01午m,01夜B1,01夜B2,01夜B1,01夜B2,r,r,01早M,01早m,01早M,01早m,r,01早M,01早m,01午m,01午M,r,r,01早m,01日(體檢),T(溫故訓),01早M,r,r,r,01早M,01早m,01午M,01午m,r,r,01夜B1,01夜B2,01夜B1,r,r,01夜B2,01夜B1,01夜B2,01夜B1,r,r,r,01早M,01早m,r,01早m,01早M,01早m,r,r,01早m,01午m,r,01早m,01早M,01早m,01早m,r,r,01早M,01早m,01早M,r,01早m,01早M,01早m,r,r,01早M,01早m,r,01夜B2,01夜B1,01夜B2,01夜B1,r,r,r,01午M,01午M,r,01早m,01早M,01早m,01早M,01早m,r,r,01早M,01早M,01早M,01早m,r,01早m,01早M,01早m,01早M,01早M
T02287,r,r,01午m,01午M,01午M,r,r,01午B1,01午M,01午m,r,r,r,01早m,01早B1,01早M,r,01早B1,01早M,01早m,01午B1,r,r,r,r,01早M,01夜B2,01夜B1,01夜B2,01夜B1,01夜B2,r,r,01早m,01早M,01早m,01早B1,r,01早m,01早m,01早m,r,r,01早M,01午B1,01午M,01午m,r,r,r,r,r,r,r,01夜B2,01夜B1,01夜B2,01夜B1,r,r,r,01早B1,01早m,01中A,T(溫故訓),r,01早B1,01早M,01夜B1,01夜B2,01夜B1,r,r,r,01早m,r,01午m,01午M,01午m,r,01夜B2,01夜B1,r,r,01早m,01午M,r,r,01早M,01早m,01早m,01早B1,r,01午m,r,r,r,01早M,01早m,01午M,r,01夜B1,01夜B2,01夜B1,01夜B2,01夜B1,r,r,01早m,01早M,01早M,01早m,r,01早m,01早M,01早m,01早M,r,01早m,01日(體檢/心理調適訓)),01早B1,r,r,r,01早M,01早m,01早m,r,01午M,01夜B1,01夜B2,r,r,01午M,01午m,01午B1,01午m,01午M,r,01午m,01午M,r,r,01夜B2,01夜B1,01夜B2,r,r,r,01早m,r,01早m,01早M,r,01早M,01早m,01早M,r,01早m,01早M,01早M,01早M,r,r,01早M,01早M,01早M,01早m,01早B1,r,r,r,r,01夜B1,01夜B2,01夜B1,01夜B2,01夜B1,r,r,01中A,01早B1,01早M,01早m,r
T02359,r,r,01早M,01早B2,r,01夜B1,01夜B2,01夜B1,01夜B2,r,r,01早m,01早M,01早B1,01早m,r,r,01早m,01早m,01早B1,01早M,r,r,01早M,01早m,01午M,01午M,r,r,01午B1,r,01夜B1,01夜B2,r,r,01午B1,01午M,01午m,r,r,r,01早M,01早M,r,01早m,01早m,01早m,r,01早m,01早m,01早M,r,01早M,01早m,01早M,r,r,01夜B2,01夜B1,r,r,r,r,01早m,01早B1,01早m,01早m,T(溫故訓),r,01早B1,01早M,01早M,r,01早m,01早M,01早m,01中A,r,01早B1,01早B1,01早M,r,01夜B2,01夜B1,01夜B2,01夜B1,01夜B2,r,r,r,01中A,01早m,01早M,01早m,r,01夜B1,01夜B2,r,r,01早M,01早M,01早B1,01早m(照證),r,01早M,01早m,01早B1,01早B1,r,r,r,01夜B1,01夜B2,01夜B1,r,r,01早m,01早M,01早B1,01日(體檢/心理調適訓)),r,01午M,r,01午m,01夜B1,01夜B2,01夜B1,01夜B2,r,r,01早M,01早m,r,01早m,01早M,01早m,r,r,01早m,01早m,r,01早m,01早M,01早B1,01早m,r,01中A,01早M,01早m,01早M,r,01夜B2,01夜B1,01夜B2,r,r,r,01早m,01早M,01午M,r,r,01午M,01午M,r,r,r,01早M,01早M,01早m,01早B1,01早m,r,01早M,01早M,01夜B2,01夜B1,r,r,r,01早M,01早m,01中A,r,01早m
T02363,01夜B1,r,r,r,01夜B1,01夜B2,01夜B1,r,r,01夜B1,01夜B2,01夜B1,01夜B2,r,r,01夜B1,01夜B2,01夜B1,r,r,r,01夜B2,01夜B1,r,01夜B2,01夜B1,r,r,01夜B1,01夜B2,01夜B1,01夜B2,r,01夜B1,01夜B2,01夜B1,r(01夜)B2,r,r,01夜B2,01夜B1,01夜B2,01夜B1,r,r,01夜B1,01夜B2,01夜B1,01夜B2,01夜B1,01夜B2,r,r,r(01夜)B2,01夜B1,01夜B2,01夜B1,r,01夜B2,r(01夜)B1,r(01夜)B2,01夜B1,01夜B2,r,r,r,r,r,01夜B2,01夜B1,r,01夜B2,01夜B1,01夜B2,r(01夜)B1,01夜B2,r,01夜B1,01夜B2,01夜B1,r,r,r,r,r,r,r,r,T(溫故訓),r,r,r(01夜)B1,01夜B2,01夜B1,01夜B2,r,r,01夜B1,01夜B2,01夜B1,01夜B2,r,r,01夜B2,01夜B1,01夜B2,01夜B1,r,r,r,01夜B1,01夜B2,01夜B1,01夜B2,01夜B1,01夜B2,r,r,r,01日.(體檢/照證),01夜B1,01夜B2,01夜B1,01夜B2,r,r,01夜B2,01夜B1,01夜B2,r,r,01夜B1,01夜B2,01夜B1,01夜B2,01夜B1,r,01夜B2,01夜B1,r,r,r,01夜B2,01夜B1,01夜B2,r,r,01夜B1,01夜B2,01夜B1,01夜B2,r,r,01夜B1,01夜B2,01夜B1,01夜B2,01夜B1,r,r,01夜B1,01夜B2,01夜B1,01夜B2,r,r,01夜B1,01夜B2,01夜B1,r,r,01夜B2,01夜B1,01夜B2,01夜B1,r,r,01夜B2,01夜B1,01夜B2,01夜B1,r,01夜B2,01夜B1,01夜B2
T02504,r,r,01午M,01夜B1,01夜B2,r,r,r,01午B1,01午M,01夜B1,01夜B2,01夜B1,r,r,01午M,01午m,r,r,01午M,01午m,01午m,01午M,01午m,r,r,r,01午M,01午m,01午B2,01午M,r,01午m,01午B1,01午M,01午m,r,01夜B1,01夜B2,01夜B1,01夜B2,r,r,01早m,01早M,r,r,r,01午m,01午M,01午m,01午M,01午m,r,r,01早M(裁罰訓),01午M,01午m,r,01午B1,01午M,01午m,01午M,r,r,01夜B2,01夜B1,01夜B2,r,r,01午B1,01午M,01午m,01午M,r,01午m,01午M,01午m,r,r,r.,01夜B2,01夜B1,01夜B2,r,r,r,01早M,01早m,01早M,r,01午B1,01午M,r,01午m,01午M,01午m,r,T(溫故訓),01午m,r,r,01午B1(照證),01午M,r,r,01午M,01午m,01午m,01午M,r,01午M,01午m,r,01午M,01午m,01夜B1,01夜B2,01夜B1,01夜B2,r,r,01午m,01午M,01午m,01午M,01午B1,r,r,r,01午M,01午m,01午M,01午m,r,01午M,01夜B2,01夜B1,01夜B2,r,r,r,01午M,01午m,01午M,01夜B1,01夜B2,r,r,r,01中A,01午M,01午m,01午M,r,01午m,01午M,01午m,01午M,r,r,r,r,r,r,r,r,01午m,01夜B2,01夜B1,01夜B2,01夜B1,01夜B2,r,r,r,01午M,01午m,01午B1,01午M,01午M,r,r,01午m,01午B1
T02505,r,01夜B2,01夜B1,01夜B2,r,r,01午M,01午m,01午B2,r,01午M,01午m,01午M,01夜B1,01夜B2,r,r,r,r,01午m,01午M,01午B1,01午m,01午M,r,r,r,01午B1,01午B1,01午m,01午m,r,01夜B1,01夜B2,01夜B1,01夜B2,r,r,01午M,01午B1,r,01中A,r,01午M,01午m,r,r,r,01午M,01午m,r,01午m,01午M,r,r,01午M(加),01午m,01午B1,01午B1,r,r,01午M,01午m,r,r,01午M,01午M,01午m,01午B1,01午M,r,01午B1,01午M,01午m,r,01午B1,01夜B1,01夜B2,01夜B1,r,r,01午M,01午m,r,01午M,01午m,r,01午M,01夜B1,01夜B2,01夜B1,01夜B2,r,r,01早B1,01午m,r,01午M,01午m,01午B1,r,r,01午m(照證),01午B1,r,r,T(溫故訓),01午B1,01午M,r,01午M,01午m,01午M,r,01夜B2,01夜B1,01夜B2,r,r,01午M,01午M,01午m,01午M,r,01早m,01午m,01午M,01午M,r,r,01夜B1,01夜B2,01夜B1,01夜B2,r,r,01早M,01午m,01午B1,01午M,r,r,01午B1,01午M,01午m,01午M,r,r,01中A,01午M,01午m,r,01午M,01午m,01午M,01午B1,r,01早M,01午m,r,r,r,r,r,r,r,r,01午M,01午M,01夜B2,01夜B1,r,r,01午B1,01午M,01午m,r,01午M,01夜B2,01夜B1,01夜B2,01夜B1,r,r,r
T00557,01中A(復),01中A(復),01中A(復),r,01早B1,01早B2,01早B1,01早B2,r,r,01午B1,01午B2,r,r,01中A,01中A,r,r,r,01早B2,01早B1,01早B2,01早B1,r,01早B1,01早B2,01早B1,01早B1,r,r,01早B1,01早B1,r,r,r,r,01午B2,01午B1,01午B2,r,r,r,01早B1,01早B2,01早B1,r,01午B1,01午B2,01午B1,r,r,r,01早B2,01早B1,01早B2,01早B1,01早B2,r,r,r,01午B1,r,r,r,01午B2,01午B1,01午B2,01午B1,01午B2,r,r,r,01早B1,01早B2,01早B1,01早B2,r,r,r,01早B1,01早B2,01早B1,r,01早B2,01中A,r,r,01早B1,T(溫故訓),01午B2,01午B1,r,r,r,01早B2,01早B1,01中A,r,01早B2,01早B1,01早B2,r,r,r,01早B1,01早B2,r,r,r,01早B2,01午B1,01午B1,r,01午B2,01午B1,01午B2,01午B1,r,01午B2,01午B1,01午B2,r,01早B1,01中A(滅火防爆),r,01早B2,01早B1,01早B2,r,r,r,01午B1,01午B2,01午B1,01午B2,r,r,r,01早B1,01早B2,01早B1,r,01早B2,01早B1,01早B2,01早B1,r,r,r,01中A,01午B2,01午B1,r,r,01早B2,01早B1,01早B2,01早B1,r,01早B2,01早B1,01早B2,r,01午B1,01午B2,r,01午B1,01午B1,01午B1,01午B2,r,r,01午B1,01午B1,r,01早B1,01早B2,01早B1,01早B2,r,r,r,01早B1,01早B1,r
